Security Name,Client Symbol,Ticker,CUSIP,SEDOL,Trading Currency,Shares,Price [USD],Market Value [USD],Weight (%)
Addus HomeCare Corporation,006739106,NasdaqGS:ADUS,,,USD,6377.00,102.86,655938.22,2.0173
"ADMA Biologics, Inc.",000899104,NasdaqGM:ADMA,,,USD,41712.00,24.11,1005676.32,3.0928
Artisan Partners Asset Management Inc.,04316A108,NYSE:APAM,,,USD,16320.00,37.56,612979.20,1.8851
Avery Dennison Corporation,053611109,NYSE:AVY,,,USD,2050.00,171.72,352026.00,1.0826
Bruker Corporation,116794108,NasdaqGS:BRKR,,,USD,5404.00,39.84,215295.36,0.6621
"BWX Technologies, Inc.",05605H100,NYSE:BWXT,,,USD,7836.00,109.24,856004.64,2.6325
"Commvault Systems, Inc.",204166102,NasdaqGS:CVLT,,,USD,5064.00,168.73,854448.72,2.6278
Corcept Therapeutics Incorporated,218352102,NasdaqCM:CORT,,,USD,3914.00,73.23,286622.22,0.8815
"DICK'S Sporting Goods, Inc.",253393102,NYSE:DKS,,,USD,3471.00,192.01,666466.71,2.0496
"e.l.f. Beauty, Inc.",26856L103,NYSE:ELF,,,USD,2904.00,62.17,180541.68,0.5552
"EMCOR Group, Inc.",29084Q100,NYSE:EME,,,USD,1217.00,413.02,502645.34,1.5458
"Exelixis, Inc.",30161Q104,NasdaqGS:EXEL,,,USD,16511.00,38.55,636499.05,1.9575
"ExlService Holdings, Inc.",302081104,NasdaqGS:EXLS,,,USD,21285.00,44.98,957399.30,2.9444
Fabrinet,G3323L100,NYSE:FN,,,USD,4996.00,207.55,1036919.80,3.1889
FactSet Research Systems Inc.,303075105,NYSE:FDS,,,USD,1169.00,428.71,501161.99,1.5413
"First American Funds, Inc. - First American Institutional Prime Obligations Fund",31846V104,MutualFund:FAIX.X,,,USD,0.01,1.00,0.01,0.0000
"First American Funds, Inc. - Government Obligations Fund",31846V203,MutualFund:FGVX.X,,,USD,45604.62,1.00,45604.62,0.1403
"Halozyme Therapeutics, Inc.",40637H109,NasdaqGS:HALO,,,USD,3614.00,60.82,219803.48,0.6760
"Inspire Medical Systems, Inc.",457730109,NYSE:INSP,,,USD,5183.00,159.93,828917.19,2.5492
"InterDigital, Inc.",45867G101,NasdaqGS:IDCC,,,USD,5863.00,200.53,1175707.39,3.6158
IRADIMED CORPORATION,46266A109,NasdaqGM:IRMD,,,USD,10602.00,53.70,569327.40,1.7509
"Ironwood Pharmaceuticals, Inc.",46333X108,NasdaqGS:IRWD,,,USD,26147.00,0.94,24583.41,0.0756
iShares Trust - iShares Russell 2000 Growth ETF,464287648,ARCA:IWO,,,USD,11121.00,255.04,2836299.84,8.7227
iShares Trust - iShares Russell Mid-Cap Growth ETF,464287481,ARCA:IWP,,,USD,16832.00,121.34,2042394.88,6.2812
"KBR, Inc.",48242W106,NYSE:KBR,,,USD,11779.00,52.88,622873.52,1.9156
Lamar Advertising Company,512816109,NasdaqGS:LAMR,,,USD,8742.00,114.53,1001221.26,3.0791
"Lantheus Holdings, Inc.",516544103,NasdaqGM:LNTH,,,USD,12173.00,103.96,1265505.08,3.8919
"Light & Wonder, Inc.",80874P109,NasdaqGS:LNW,,,USD,6880.00,85.08,585350.40,1.8002
"Napco Security Technologies, Inc.",630402105,NasdaqGS:NSSC,,,USD,9258.00,22.87,211730.46,0.6512
"Neurocrine Biosciences, Inc.",64125C109,NasdaqGS:NBIX,,,USD,6466.00,107.24,693413.84,2.1325
Nextracker Inc.,65290E101,NasdaqGS:NXT,,,USD,4877.00,43.07,210052.39,0.6460
Onto Innovation Inc.,683344105,NYSE:ONTO,,,USD,7305.00,122.28,893255.40,2.7471
"Option Care Health, Inc.",68404L201,NasdaqGS:OPCH,,,USD,6389.00,30.69,196078.41,0.6030
"OSI Systems, Inc.",671044105,NasdaqGS:OSIS,,,USD,5864.00,203.12,1191095.68,3.6631
"Patrick Industries, Inc.",703343103,NasdaqGS:PATK,,,USD,10669.00,78.52,837729.88,2.5763
Paylocity Holding Corporation,70438V106,NasdaqGS:PCTY,,,USD,2251.00,192.33,432934.83,1.3314
"Qualys, Inc.",74758T303,NasdaqGS:QLYS,,,USD,5540.00,128.43,711502.20,2.1881
"Saia, Inc.",78709Y105,NasdaqGS:SAIA,,,USD,2905.00,236.65,687468.25,2.1142
"Sprouts Farmers Market, Inc.",85208M102,NasdaqGS:SFM,,,USD,8827.00,172.30,1520892.10,4.6773
"SPS Commerce, Inc.",78463M107,NasdaqGS:SPSC,,,USD,3050.00,142.00,433100.00,1.3320
"Sterling Infrastructure, Inc.",859241101,NasdaqGS:STRL,,,USD,1028.00,149.28,153459.84,0.4719
Tennant Company,880345103,NYSE:TNC,,,USD,13453.00,72.89,980589.17,3.0157
"Tetra Tech, Inc.",88162G103,NasdaqGS:TTEK,,,USD,26996.00,31.27,844164.92,2.5961
"The Bancorp, Inc.",05969A105,NasdaqGS:TBBK,,,USD,29263.00,48.75,1426571.25,4.3873
Universal Display Corporation,91347P105,NasdaqGS:OLED,,,USD,4461.00,124.18,553966.98,1.7037
